system,filename,paras,trial,best_fit
BaseDE,DE-35099f5cafb1409dba41afdd51115b93,"{'cr': 0.8, 'epoch': 500, 'pop_size': 50, 'strategy': 1, 'wf': 0.85}",1,0.0
BaseDE,DE-5105c70fd3184b85afcf871a79802f5a,"{'cr': 0.8, 'epoch': 500, 'pop_size': 50, 'strategy': 1, 'wf': 0.85}",2,0.0
